iter	MultiClass
0	1.005054501
1	0.9323562686
2	0.8765148693
3	0.829485616
4	0.7863732574
5	0.7496323053
6	0.7177109369
7	0.6905326831
8	0.6659417186
9	0.645513357
10	0.6267181148
11	0.6100023196
12	0.5955409598
13	0.5828566814
14	0.5699741971
15	0.5584626582
16	0.5480023233
17	0.5379001785
18	0.52853507
19	0.5207688101
20	0.5135334726
21	0.5061395828
22	0.4990027171
23	0.4933162187
24	0.4879139
25	0.4826665865
26	0.4774230595
27	0.4727882059
28	0.4683354543
29	0.4646773214
30	0.4616597601
31	0.4581941329
32	0.4542653917
33	0.4500321102
34	0.4468123339
35	0.44390854
36	0.4400365715
37	0.4372856115
38	0.4336134768
39	0.430180478
40	0.4275417969
41	0.4251437251
42	0.4226716621
43	0.4201932231
44	0.4174886498
45	0.4149257034
46	0.4130428589
47	0.4108812468
48	0.4083247678
49	0.4052529707
50	0.4034698627
51	0.4016697522
52	0.3994552592
53	0.3974612824
54	0.3957458784
55	0.3941085004
56	0.3924377321
57	0.3905355862
58	0.3890388887
59	0.3869903677
60	0.3843757909
61	0.3823931292
62	0.3808074284
63	0.3791455664
64	0.3770597451
65	0.3755107884
66	0.3740435363
67	0.3723224854
68	0.3706245456
69	0.3683815466
70	0.3665022508
71	0.3646636658
72	0.3625744716
73	0.3608432272
74	0.3595134713
75	0.357496174
76	0.3559379349
77	0.3543461435
78	0.3517712001
79	0.3502922583
80	0.3482245451
81	0.3464829551
82	0.3444220112
83	0.342794389
84	0.3407142167
85	0.3397763738
86	0.3381668444
87	0.3363537562
88	0.3342581603
89	0.3332915587
90	0.3318073728
91	0.3302427966
92	0.3284659882
93	0.3273346725
94	0.3260687115
95	0.3246175135
96	0.3230670077
97	0.3219754293
98	0.3206346059
99	0.3191812358
100	0.317547169
101	0.3164287436
102	0.3151993
103	0.3140721937
104	0.3120418326
105	0.3104252235
106	0.308809652
107	0.307615464
108	0.3059099371
109	0.3042369554
110	0.3025206329
111	0.3008984372
112	0.2997536128
113	0.2983668001
114	0.297170628
115	0.2960396143
116	0.2950820776
117	0.2935873006
118	0.2917619409
119	0.2905006727
120	0.2881439302
121	0.2868322303
122	0.2855537551
123	0.2842067188
124	0.2825220303
125	0.2814082708
126	0.2804453169
127	0.2793050654
128	0.2777889971
129	0.276715287
130	0.275519014
131	0.2738093582
132	0.2725742205
133	0.2714802268
134	0.2700926998
135	0.268876779
136	0.2674285225
137	0.2660555591
138	0.2645688743
139	0.2636636018
140	0.2623691854
141	0.2610314633
142	0.2598270086
143	0.2586143374
144	0.2573079835
145	0.2562102747
146	0.2549305819
147	0.2539252279
148	0.2529608458
149	0.2519807285
150	0.2510630583
151	0.2498349937
152	0.2482679615
153	0.246892687
154	0.2458978674
155	0.244776053
156	0.2434063014
157	0.2421298427
158	0.2409765029
159	0.2395872427
160	0.2386648392
161	0.2375804618
162	0.2367594734
163	0.2355272372
164	0.2348613113
165	0.233641991
166	0.2328430876
167	0.2315782322
168	0.2306939174
169	0.2295161843
170	0.2287204132
171	0.2280746835
172	0.2271829334
173	0.2265182144
174	0.2258189343
175	0.2249853015
