iter	Passed	Remaining
0	162	2443722
1	181	1361679
2	200	1002709
3	220	826139
4	239	719139
5	259	648929
6	277	594388
7	295	554374
8	314	523773
9	333	500582
10	353	481014
11	371	464139
12	390	450118
13	409	438290
14	427	427477
15	446	418045
16	465	410114
17	485	403711
18	504	397680
19	522	391715
20	542	386937
21	560	381778
22	579	377515
23	598	373625
24	617	369930
25	636	366611
26	655	363652
27	675	361315
28	694	358694
29	713	356268
30	732	353524
31	751	351281
32	769	349066
33	788	347222
34	807	345295
35	826	343498
36	844	341651
37	863	339918
38	881	338218
39	900	336933
40	920	335939
41	939	334467
42	958	333382
43	977	332111
44	995	330868
45	1014	329764
46	1033	328885
47	1052	327976
48	1071	326897
49	1090	326143
50	1109	325231
51	1129	324600
52	1148	324026
53	1168	323404
54	1187	322652
55	1206	321951
56	1225	321221
57	1244	320622
58	1263	319943
59	1282	319237
60	1300	318577
61	1320	318234
62	1339	317662
63	1359	317291
64	1379	316858
65	1397	316271
66	1416	315809
67	1436	315414
68	1456	315067
69	1474	314589
70	1494	314330
71	1513	313812
72	1532	313433
73	1552	313130
74	1572	312924
75	1591	312597
76	1611	312283
77	1630	312006
78	1649	311602
79	1669	311427
80	1688	310999
81	1707	310689
82	1726	310365
83	1748	310402
84	1768	310235
85	1787	310059
86	1807	309842
87	1828	309798
88	1849	309817
89	1868	309602
90	1890	309664
91	1910	309595
92	1931	309591
93	1952	309595
94	1971	309250
95	1989	308932
96	2010	308850
97	2031	308862
98	2052	308890
99	2071	308690
100	2091	308587
101	2112	308489
102	2133	308594
103	2153	308435
104	2172	308210
105	2193	308251
106	2214	308298
107	2235	308269
108	2255	308178
109	2277	308287
110	2298	308258
111	2318	308184
112	2339	308239
113	2360	308202
114	2382	308333
115	2403	308331
116	2425	308509
117	2447	308637
118	2468	308663
119	2489	308697
120	2510	308704
121	2531	308658
122	2551	308613
123	2573	308732
124	2594	308725
125	2615	308722
126	2638	308996
127	2658	308901
128	2679	308856
129	2699	308754
130	2720	308829
131	2740	308653
132	2760	308577
133	2780	308424
134	2801	308457
135	2821	308419
136	2842	308361
137	2861	308209
138	2882	308212
139	2902	308127
140	2924	308180
141	2944	308111
142	2965	308060
143	2985	308053
144	3014	308811
145	3034	308703
146	3054	308653
147	3074	308499
148	3093	308374
149	3114	308313
150	3134	308259
151	3155	308197
152	3185	309123
153	3207	309229
154	3229	309322
155	3251	309383
156	3273	309480
157	3295	309528
158	3316	309539
159	3336	309431
160	3355	309303
161	3376	309245
162	3396	309125
163	3416	309084
164	3436	308998
165	3456	308872
166	3477	308899
167	3497	308773
168	3517	308696
169	3537	308617
170	3557	308531
171	3578	308517
172	3599	308491
173	3619	308430
174	3640	308375
175	3659	308270
176	3679	308162
177	3698	308009
178	3718	307917
179	3739	307852
180	3759	307805
181	3780	307779
182	3800	307690
183	3821	307746
184	3841	307641
185	3862	307599
186	3882	307576
187	3903	307557
188	3924	307572
189	3944	307450
190	3964	307345
191	3983	307252
192	4003	307161
193	4023	307068
194	4042	306900
195	4062	306874
196	4083	306833
197	4104	306823
198	4124	306747
199	4144	306693
200	4170	307088
201	4195	307375
202	4217	307425
203	4239	307521
204	4260	307491
205	4281	307444
206	4301	307413
207	4321	307292
208	4340	307184
209	4360	307095
210	4380	307029
211	4400	306931
212	4420	306912
213	4440	306834
214	4463	306914
215	4483	306854
216	4505	306912
217	4526	306941
218	4546	306833
219	4565	306738
220	4586	306741
221	4607	306738
222	4627	306641
223	4648	306607
224	4668	306589
225	4690	306599
226	4709	306505
227	4730	306475
228	4751	306460
229	4770	306328
230	4791	306345
231	4812	306355
232	4832	306268
233	4852	306180
234	4872	306118
235	4892	306096
236	4913	306072
237	4933	305975
238	4953	305939
239	4973	305895
240	4994	305858
241	5015	305847
242	5034	305754
243	5054	305686
244	5075	305665
245	5095	305603
246	5114	305485
247	5133	305388
248	5154	305359
249	5174	305322
250	5195	305312
251	5215	305256
252	5236	305256
253	5257	305243
254	5278	305232
255	5299	305245
256	5321	305293
257	5342	305240
258	5363	305242
259	5384	305279
260	5405	305266
261	5425	305167
262	5445	305114
263	5466	305102
264	5486	305062
265	5506	304983
266	5527	304986
267	5548	304974
268	5567	304871
269	5588	304870
270	5608	304836
271	5627	304739
272	5646	304625
273	5667	304601
274	5688	304612
275	5709	304568
276	5729	304530
277	5749	304491
278	5770	304487
279	5790	304424
280	5811	304410
281	5832	304425
282	5853	304408
283	5873	304354
284	5893	304274
285	5912	304183
286	5931	304086
287	5951	304037
288	5971	303970
289	5990	303879
290	6012	303911
291	6033	303900
292	6054	303910
293	6074	303851
294	6094	303793
295	6114	303735
296	6134	303688
297	6155	303669
298	6175	303641
299	6196	303624
300	6216	303599
301	6236	303539
302	6257	303511
303	6278	303509
304	6299	303512
305	6320	303506
306	6341	303485
307	6361	303435
308	6381	303403
309	6402	303373
310	6422	303333
311	6442	303313
312	6463	303284
313	6483	303244
314	6504	303246
315	6531	303497
316	6551	303477
317	6572	303461
318	6592	303379
319	6612	303368
320	6633	303326
321	6654	303315
322	6675	303316
323	6695	303297
